"Timestamp","What gender do you identify with?","What race(s) do you identify with?","What graduation class are you?","What is your (intended) concentration area(s)?","What religious tradition(s) do you identify with?","Do you think youâ€™re smarter than the average Brown student?","Are you currently in a relationship?","What is your favorite dining hall on campus?","On average, how often do you change your sheets?","Do you believe in God/gods or a higher power?","What is your GPA?","Do you think America is the greatest country in the world?","Do you believe that there is other intelligent life in the universe?"
"2022/04/21 11:48:11 AM AST","Male","White","2024","Social Sciences","Christianity","No, slightly less smart","Yes","Andrews Commons","Every two weeks","Yes","Unsure","Yes","Likely"
"2022/04/21 11:50:19 AM AST","Female","White","2024","Life Sciences","Unsure","Prefer not to answer","Yes","Barus and Holley Cafe","Every week","Yes","4.0","No","Definitely"
"2022/04/21 11:51:40 AM AST","Male","White","2024","Life Sciences","Christianity","Prefer not to answer","Yes","Blue Room","Every two weeks","Yes","3.8-3.89","No","Likely"
"2022/04/21 11:52:54 AM AST","Male","Asian;White","2024","Humanities/Arts;Life Sciences","I am atheist","Yes, slightly smarter","No","Andrews Commons","Every two months","Unsure","3.9-3.99","No","Likely"
"2022/04/21 11:53:58 AM AST","Non-binary","Asian","2022","Physical Sciences (including math, CS)","I am agnostic","No, slightly less smart","Yes","Verney-Wooley (V-dub)","Every month","Unsure","3.8-3.89","No","Likely"
"2022/04/21 11:54:48 AM AST","Male","Non-white Hispanic","2024","Life Sciences;Physical Sciences (including math, CS)","Christianity","Yes, slightly smarter","No","Andrews Commons","Every two months","Yes","3.9-3.99","No","Likely"
"2022/04/21 12:08:47 PM AST","Female","White","2024","Humanities/Arts;Social Sciences","I am agnostic","No, slightly less smart","Yes","Barus and Holley Cafe","Every month","No","3.8-3.89","No","Likely"
"2022/04/21 12:09:23 PM AST","Male","White","2025","Physical Sciences (including math, CS)","Christianity","No, slightly less smart","Yes","Andrews Commons","Every month","Yes","Unsure","Yes","Likely"
"2022/04/21 12:11:54 PM AST","Female","White","2024","Social Sciences","Christianity","No, slightly less smart","No","Blue Room","Every two weeks","Unsure","3.8-3.89","No","Likely"
"2022/04/21 12:15:42 PM AST","Male","White","2025","Unsure","Christianity","Prefer not to answer","No","Andrews Commons","Every month","Yes","4.0","No","Definitely"
"2022/04/21 12:18:34 PM AST","Female","Black;White","2023","Humanities/Arts;Life Sciences","Christianity","No, slightly less smart","No","Unsure","Less than every two months","Yes","Unsure","No","Likely"
"2022/04/21 12:21:25 PM AST","Female","Asian;Non-white Hispanic","2025","Life Sciences","Unsure","No, slightly less smart","Yes","Ivy Room","Every month","Unsure","3.7-3.79","No","Likely"
"2022/04/21 12:21:34 PM AST","Male","White","2025","Humanities/Arts;Physical Sciences (including math, CS)","Judaism","Prefer not to answer","No","Sharpe Refectory (Ratty)","Less than every two months","Yes","4.0","Unsure","Definitely not"
"2022/04/21 12:22:32 PM AST","Male","Asian","2024","Physical Sciences (including math, CS);Social Sciences","I am agnostic","Yes, slightly smarter","No","Barus and Holley Cafe","Every month","Yes","3.9-3.99","No","Unlikely"
"2022/04/21 12:25:45 PM AST","Male","White","2024.5","Humanities/Arts","I am agnostic","Yes, slightly smarter","No","Sharpe Refectory (Ratty)","Every month","No","Unsure","No","Likely"
"2022/04/21 12:27:05 PM AST","Male","White","2024","Life Sciences;Physical Sciences (including math, CS)","I am atheist","Yes, slightly smarter","No","Sharpe Refectory (Ratty)","Every two weeks","No","4.0","No","Likely"
"2022/04/21 12:29:55 PM AST","Female","Asian;White","2025","Humanities/Arts","I am agnostic","No, slightly less smart","No","Andrews Commons","Every month","Unsure","3.9-3.99","No","Definitely"
"2022/04/21 12:31:14 PM AST","Female","White","2025","Physical Sciences (including math, CS);Social Sciences","Christianity;Judaism","Yes, slightly smarter","No","Andrews Commons","Every week","Unsure","4.0","No","Likely"
"2022/04/21 12:34:18 PM AST","Male","White","2023.5","Physical Sciences (including math, CS)","Christianity","Yes, slightly smarter","Yes","Sharpe Refectory (Ratty)","Every two weeks","Unsure","Unsure","No","Likely"
"2022/04/21 12:34:30 PM AST","Female","White","2023.5","Physical Sciences (including math, CS)","I am atheist","Yes, slightly smarter","Yes","Verney-Wooley (V-dub)","Every two weeks","No","4.0","No","Likely"
"2022/04/21 12:35:58 PM AST","Male","White","2024","Physical Sciences (including math, CS)","Christianity","Yes, slightly smarter","No","Blue Room","Every month","Yes","4.0","No","Unlikely"
"2022/04/21 12:37:00 PM AST","Female","Asian","2025","Life Sciences;Physical Sciences (including math, CS)","Hinduism","Prefer not to answer","No","Andrews Commons","Every two weeks","Unsure","3.9-3.99","No","Likely"
"2022/04/21 12:37:09 PM AST","Male","White","2025","Social Sciences","Judaism","Yes, slightly smarter","No","Josiah's (Jo's)","Every two weeks","No","4.0","Unsure","Likely"
"2022/04/21 12:40:56 PM AST","Male","White","2024.5","Physical Sciences (including math, CS)","Christianity","No, slightly less smart","No","Andrews Commons","Every two weeks","Yes","4.0","Yes","Definitely"
"2022/04/21 12:42:13 PM AST","Male","Non-white Hispanic","2024","Physical Sciences (including math, CS)","I am agnostic","No, slightly less smart","No","Sharpe Refectory (Ratty)","Every week","Unsure","Unsure","No","Likely"
"2022/04/21 12:44:20 PM AST","Female","White","2023","Humanities/Arts","Judaism","No, slightly less smart","Yes","Andrews Commons","Every month","Yes","3.8-3.89","No","Definitely"
"2022/04/21 12:44:25 PM AST","Male","White","2024","Humanities/Arts;Social Sciences","Judaism","Yes, slightly smarter","No","Josiah's (Jo's)","Every two months","Unsure","3.9-3.99","Yes","Likely"
"2022/04/21 12:46:25 PM AST","Female","Asian","2023","Humanities/Arts;Social Sciences","I am agnostic;I am atheist","Yes, slightly smarter","No","Josiah's (Jo's)","Every two months","No","3.8-3.89","Unsure","Unlikely"
"2022/04/21 12:47:24 PM AST","Male","Asian","2024","Physical Sciences (including math, CS)","Hinduism","Yes, slightly smarter","No","Andrews Commons","Every month","Unsure","4.0","No","Definitely"
"2022/04/21 12:48:42 PM AST","Male","White","2023","Physical Sciences (including math, CS)","Christianity","Yes, slightly smarter","No","Verney-Wooley (V-dub)","Every month","Yes","4.0","Unsure","Likely"
"2022/04/21 12:50:27 PM AST","Female","Asian","2024","Humanities/Arts","Buddhism","No, slightly less smart","Yes","Sharpe Refectory (Ratty)","Every two weeks","No","4.0","No","Likely"
"2022/04/21 12:50:46 PM AST","Female","White","2024","Humanities/Arts;Social Sciences","I am atheist","No, slightly less smart","No","Verney-Wooley (V-dub)","Every month","Unsure","3.8-3.89","No","Definitely"
"2022/04/21 12:51:26 PM AST","Male","White","2025","Life Sciences","I am agnostic","Yes, slightly smarter","Yes","Andrews Commons","Every week","No","4.0","No","Likely"
"2022/04/21 12:52:16 PM AST","Male","Prefer not to answer","2023.5","Physical Sciences (including math, CS)","I am atheist","Yes, slightly smarter","Yes","Blue Room","Every week","No","3.8-3.89","No","Likely"
"2022/04/21 12:54:57 PM AST","Male","White","2025","Humanities/Arts;Social Sciences","I am agnostic","Yes, slightly smarter","Yes","Andrews Commons","Every month","Unsure","4.0","No","Likely"
"2022/04/21 12:57:03 PM AST","Male","Asian","2025","Physical Sciences (including math, CS)","I am agnostic","No, significantly less smart","No","Andrews Commons","Every two weeks","Yes","3.0-3.24","Unsure","Likely"
"2022/04/21 12:58:20 PM AST","Male","American Indian/Alaska Native;Non-white Hispanic;White","2024","Life Sciences","I am agnostic","Yes, slightly smarter","No","Josiah's (Jo's)","Every week","Unsure","3.6-3.69","No","Likely"
"2022/04/21 12:58:22 PM AST","Male","Black","2025","Humanities/Arts","Christianity","Prefer not to answer","No","Blue Room","Prefer not answer","Yes","Prefer not to answer","Yes","Prefer not to answer"
"2022/04/21 12:58:40 PM AST","Male","Non-white Hispanic","2025","Social Sciences","Christianity","No, slightly less smart","No","Sharpe Refectory (Ratty)","Every two months","Yes","3.7-3.79","Yes","Likely"
"2022/04/21 12:59:34 PM AST","Female","Asian","2025","Humanities/Arts;Physical Sciences (including math, CS);Social Sciences","I am atheist;Unsure","No, slightly less smart","No","Sharpe Refectory (Ratty)","Less than every two months","No","4.0","No","Unlikely"
"2022/04/21 1:01:06 PM AST","Female","White","2023","Life Sciences;Social Sciences","I am atheist","No, slightly less smart","Yes","Andrews Commons","Every month","Unsure","3.7-3.79","No","Definitely"
"2022/04/21 1:04:59 PM AST","Male","White","2023","Life Sciences","I am agnostic","Prefer not to answer","Yes","Andrews Commons","Every month","Unsure","4.0","No","Likely"
"2022/04/21 1:05:14 PM AST","Female","Asian","2025","Social Sciences","I am agnostic","Yes, slightly smarter","No","Barus and Holley Cafe","Every month","No","3.8-3.89","No","Likely"
"2022/04/21 1:07:42 PM AST","Female","White","2023","Physical Sciences (including math, CS)","Christianity","Yes, slightly smarter","Yes","Verney-Wooley (V-dub)","Every month","Yes","3.7-3.79","Yes","Unlikely"
"2022/04/21 1:08:30 PM AST","Female","White","2023","Physical Sciences (including math, CS)","Christianity","No, slightly less smart","No","Sharpe Refectory (Ratty)","Every two weeks","Yes","3.8-3.89","No","Definitely"
"2022/04/21 1:09:31 PM AST","Female","White","2024","Life Sciences","Christianity","No, slightly less smart","No","Sharpe Refectory (Ratty)","Every month","Unsure","3.7-3.79","No","Likely"
"2022/04/21 1:10:28 PM AST","Female","Prefer not to answer","2025","Life Sciences","I am atheist","No, slightly less smart","No","Barus and Holley Cafe","Every month","No","4.0","No","Likely"
"2022/04/21 1:11:17 PM AST","Male","Asian","2025","Humanities/Arts;Physical Sciences (including math, CS)","I am atheist","No, slightly less smart","No","Verney-Wooley (V-dub)","Never","No","4.0","No","Definitely"
"2022/04/21 1:15:26 PM AST","Male","White","2024","Life Sciences","I am agnostic","No, slightly less smart","No","Verney-Wooley (V-dub)","Every month","No","Unsure","No","Likely"
"2022/04/21 1:18:44 PM AST","Male","Prefer not to answer;latino","2025","Physical Sciences (including math, CS)","Prefer not to answer","Yes, significantly smarter","Yes","Verney-Wooley (V-dub)","Every week","Unsure","4.0","No","Unlikely"
"2022/04/21 1:18:55 PM AST","Female","White","2024","Humanities/Arts","Buddhism;Christianity","Yes, slightly smarter","No","Ivy Room","Every month","Yes","4.0","No","Likely"
"2022/04/21 1:20:10 PM AST","Female","White","2022","Life Sciences","Judaism","Yes, slightly smarter","No","Sharpe Refectory (Ratty)","Every two weeks","Yes","3.7-3.79","Unsure","Unlikely"
"2022/04/21 1:28:45 PM AST","Female","White","2022","Life Sciences","I am agnostic;Unsure","No, slightly less smart","No","Barus and Holley Cafe","Every month","Unsure","3.9-3.99","No","Definitely"
"2022/04/21 1:29:56 PM AST","Male","Non-white Hispanic","2025","Life Sciences","Christianity","Yes, slightly smarter","No","Sharpe Refectory (Ratty)","Every two weeks","Yes","Unsure","Yes","Likely"
"2022/04/21 1:30:30 PM AST","Male","Asian;White","2024","Humanities/Arts;Life Sciences;Social Sciences","I am agnostic;I am atheist","Yes, slightly smarter","No","Verney-Wooley (V-dub)","Every month","No","3.8-3.89","No","Prefer not to answer"
"2022/04/21 1:33:21 PM AST","Male","White","2022","Life Sciences","Christianity","No, slightly less smart","No","Andrews Commons","Every week","Yes","3.9-3.99","No","Likely"
"2022/04/21 1:34:33 PM AST","Male","White","2024","Life Sciences;Physical Sciences (including math, CS)","Judaism","Yes, slightly smarter","No","Barus and Holley Cafe","Every month","No","4.0","No","Likely"
"2022/04/21 1:36:47 PM AST","Male","White","2024","Social Sciences","Judaism","Yes, slightly smarter","Yes","Andrews Commons","Every month","Unsure","3.9-3.99","Yes","Likely"
"2022/04/21 1:36:59 PM AST","Male","White;Jewish","2024","Physical Sciences (including math, CS)","Judaism","No, slightly less smart","Yes","Josiah's (Jo's)","Every month","Yes","3.8-3.89","Yes","Unlikely"
"2022/04/21 1:37:16 PM AST","Male","Asian","2023","Humanities/Arts;Physical Sciences (including math, CS)","I am atheist","Yes, slightly smarter","Yes","Unsure","Every month","No","3.9-3.99","No","Likely"
"2022/04/21 1:38:16 PM AST","Male","Asian;White","2024","Humanities/Arts;Physical Sciences (including math, CS)","I am atheist","No, slightly less smart","Yes","Barus and Holley Cafe","Every two weeks","No","3.8-3.89","Unsure","Unlikely"
"2022/04/21 1:45:34 PM AST","Male","White","2022","Life Sciences","Judaism","Yes, slightly smarter","Yes","Sharpe Refectory (Ratty)","Every month","No","3.7-3.79","Yes","Definitely"
"2022/04/21 1:47:24 PM AST","Male","White","2024","Physical Sciences (including math, CS)","I am agnostic","Yes, significantly smarter","Yes","Josiah's (Jo's)","Every two months","Unsure","3.8-3.89","Yes","Definitely"
"2022/04/21 1:56:37 PM AST","Female","White","2025","Physical Sciences (including math, CS)","Unsure","No, slightly less smart","No","Ivy Room","Less than every two months","Unsure","3.8-3.89","No","Unlikely"
"2022/04/21 2:01:36 PM AST","Female","Asian;White","2024","Humanities/Arts","Buddhism;Judaism;I am agnostic","No, slightly less smart","No","Verney-Wooley (V-dub)","Every two months","Unsure","3.9-3.99","No","Likely"
"2022/04/21 2:04:45 PM AST","female/genderqueer","White","2025","Social Sciences","I am atheist","No, slightly less smart","No","Andrews Commons","Less than every two months","No","3.7-3.79","No","Definitely"
"2022/04/21 2:11:41 PM AST","Male","Asian","2025","Life Sciences","Hinduism","No, slightly less smart","No","Blue Room","Every two weeks","Yes","4.0","No","Unlikely"
"2022/04/21 2:19:02 PM AST","Female","White","2025","Social Sciences","Christianity","No, slightly less smart","Yes","Verney-Wooley (V-dub)","Every two months","Yes","Unsure","Yes","Likely"
"2022/04/21 2:19:23 PM AST","Male","White","2025","Humanities/Arts;Social Sciences","Buddhism;I am agnostic","No, slightly less smart","Unsure","Ivy Room","Every two months","Unsure","Unsure","No","Likely"
"2022/04/21 2:20:44 PM AST","Female","Non-white Hispanic","2024","Social Sciences","I am atheist","No, slightly less smart","Yes","Verney-Wooley (V-dub)","Every month","No","3.5-3.59","No","Likely"
"2022/04/21 2:22:11 PM AST","Male","White","2025","Humanities/Arts;Unsure","Christianity","No, slightly less smart","No","Ivy Room","Every two months","Unsure","4.0","No","Likely"
"2022/04/21 2:27:26 PM AST","Female","Asian;White","2023","Humanities/Arts;Physical Sciences (including math, CS)","I am atheist","Yes, slightly smarter","No","Barus and Holley Cafe","Every two weeks","No","3.8-3.89","No","Likely"
"2022/04/21 2:30:37 PM AST","Female","White","2024","Physical Sciences (including math, CS)","Christianity;I am agnostic","Yes, significantly smarter","No","Verney-Wooley (V-dub)","Less than every two months","Unsure","4.0","Unsure","Definitely"
"2022/04/21 2:36:10 PM AST","Non-binary","White","2025","Life Sciences","I am atheist","No, slightly less smart","No","Sharpe Refectory (Ratty)","Every month","No","3.7-3.79","No","Definitely"
"2022/04/21 2:41:00 PM AST","Female","Non-white Hispanic","2025","Social Sciences","I am atheist","No, slightly less smart","No","Blue Room","Every two weeks","No","4.0","No","Likely"
"2022/04/21 2:42:02 PM AST","Male","White","2025","Unsure","Christianity","No, slightly less smart","Unsure","Josiah's (Jo's)","Every month","Unsure","3.6-3.69","No","Unlikely"
"2022/04/21 2:44:51 PM AST","Male","brown","2024","Humanities/Arts","Sikh","Yes, slightly smarter","No","Andrews Commons","Every two weeks","Unsure","3.25-3.49","No","Likely"
"2022/04/21 2:45:12 PM AST","Female","White","2022","Humanities/Arts","Christianity;Judaism;I am agnostic","Yes, slightly smarter","No","Unsure","Every month","Unsure","3.7-3.79","No","Likely"
"2022/04/21 2:46:57 PM AST","Female","White","2023","Social Sciences","Judaism;I am agnostic","No, slightly less smart","No","Blue Room","Every two weeks","Unsure","3.9-3.99","No","Prefer not to answer"
"2022/04/21 2:50:36 PM AST","Female","Asian","2024","Humanities/Arts","I am agnostic","No, slightly less smart","No","Andrews Commons","Every two months","No","4.0","No","Likely"
"2022/04/21 2:54:51 PM AST","Male","White","2023","Life Sciences;Physical Sciences (including math, CS)","Unsure","Prefer not to answer","No","Barus and Holley Cafe","Every two weeks","No","4.0","No","Unlikely"
"2022/04/21 2:54:53 PM AST","Female","Asian","2023","Life Sciences;Physical Sciences (including math, CS)","Hinduism;I am atheist","No, slightly less smart","Yes","Barus and Holley Cafe","Every two weeks","Unsure","3.9-3.99","No","Unlikely"
"2022/04/21 3:18:11 PM AST","Female","Middle East and North Africa (MENA)","2023","Life Sciences;Social Sciences","I am agnostic","Yes, slightly smarter","Unsure","Blue Room","Every two weeks","Yes","3.9-3.99","No","Unlikely"
"2022/04/21 3:18:19 PM AST","Male","White","2025","Life Sciences;Social Sciences","I am agnostic","No, slightly less smart","No","Unsure","Every two weeks","Yes","Unsure","No","Definitely"
"2022/04/21 3:21:28 PM AST","Non-binary","White","2025","Humanities/Arts","I am agnostic","No, slightly less smart","No","Sharpe Refectory (Ratty)","Every two months","Unsure","Unsure","No","Likely"
"2022/04/21 3:23:44 PM AST","Female","White","2025","Humanities/Arts;Social Sciences","Judaism","Prefer not to answer","No","Andrews Commons","Every two weeks","Yes","4.0","Unsure","Likely"
"2022/04/21 3:25:00 PM AST","Prefer not to answer","White","2022","Social Sciences","Judaism","Yes, slightly smarter","Yes","Andrews Commons","Every month","Yes","3.8-3.89","No","Likely"
"2022/04/21 3:25:52 PM AST","Prefer not to answer","White","2023.5","Social Sciences","Judaism","No, slightly less smart","No","Sharpe Refectory (Ratty)","Every two weeks","Yes","3.9-3.99","Prefer not to answer","Definitely"
"2022/04/21 3:28:09 PM AST","Male","Asian","2023","Physical Sciences (including math, CS)","I am atheist","No, slightly less smart","No","Andrews Commons","Less than every two months","No","3.8-3.89","No","Likely"
"2022/04/21 3:29:29 PM AST","Non-binary","Asian;Native Hawaiian/Pacific Islander;White","2024","Humanities/Arts;Physical Sciences (including math, CS)","Christianity;I am agnostic","Yes, slightly smarter","Yes","Andrews Commons","Prefer not answer","Yes","3.9-3.99","No","Likely"
"2022/04/21 3:42:03 PM AST","Female","White","2024","Social Sciences","Judaism","Yes, slightly smarter","Yes","Josiah's (Jo's)","Less than every two months","Unsure","3.7-3.79","No","Likely"
"2022/04/21 3:43:38 PM AST","Female","White","2023","Physical Sciences (including math, CS);Social Sciences","Christianity","Yes, slightly smarter","Yes","Josiah's (Jo's)","Every two weeks","Unsure","3.8-3.89","No","Likely"
"2022/04/21 3:44:36 PM AST","Male","Black","2023","Physical Sciences (including math, CS);Social Sciences","I am agnostic","Yes, slightly smarter","No","Ivy Room","Every month","Unsure","3.6-3.69","No","Likely"
"2022/04/21 3:45:38 PM AST","Female","Asian","2024","Physical Sciences (including math, CS);Social Sciences","Hinduism","No, slightly less smart","No","Blue Room","Every month","Unsure","4.0","No","Unlikely"
"2022/04/21 3:49:54 PM AST","Male","White","2024","Social Sciences","Judaism;I am atheist","Yes, slightly smarter","No","Ivy Room","Every week","No","4.0","No","Likely"
"2022/04/21 3:50:07 PM AST","Male","White","2022","Life Sciences;Social Sciences","I am atheist","Yes, significantly smarter","No","Andrews Commons","Every two months","No","3.8-3.89","No","Likely"
"2022/04/21 3:51:11 PM AST","Male","Non-white Hispanic;White","2025","Humanities/Arts;Physical Sciences (including math, CS)","Unsure","Yes, slightly smarter","No","Andrews Commons","Every month","No","Unsure","No","Likely"
"2022/04/21 3:53:56 PM AST","Female","White","2022","Humanities/Arts","Christianity","Prefer not to answer","Unsure","Andrews Commons","Every month","Unsure","3.9-3.99","No","Likely"
"2022/04/21 3:55:27 PM AST","Male","White","2024","Physical Sciences (including math, CS)","I am agnostic","Yes, slightly smarter","No","Andrews Commons","Every month","No","3.9-3.99","No","Likely"
"2022/04/21 3:57:30 PM AST","Female","White","2022","Life Sciences","Judaism","Yes, slightly smarter","Yes","Blue Room","Every two weeks","No","3.9-3.99","No","Definitely"
"2022/04/21 3:58:04 PM AST","Female","Asian","2025","Life Sciences","Christianity","Yes, slightly smarter","No","Sharpe Refectory (Ratty)","Every two weeks","Yes","4.0","No","Likely"
"2022/04/21 3:58:44 PM AST","Male","White","2023","Social Sciences","I am agnostic","Prefer not to answer","Yes","Sharpe Refectory (Ratty)","Every two months","No","3.9-3.99","No","Unlikely"
"2022/04/21 3:59:28 PM AST","Male","White","2024","Humanities/Arts","I am atheist","No, slightly less smart","No","Verney-Wooley (V-dub)","Every two months","No","3.8-3.89","No","Likely"
"2022/04/21 4:02:30 PM AST","Male","White","2023","Social Sciences","I am agnostic","Yes, slightly smarter","No","Verney-Wooley (V-dub)","Every two weeks","No","4.0","No","Likely"
"2022/04/21 4:02:56 PM AST","Male","White","2023","Physical Sciences (including math, CS)","Christianity;Unsure","No, slightly less smart","No","Ivy Room","Every two weeks","Yes","3.0-3.24","No","Definitely"
"2022/04/21 4:02:57 PM AST","Female","Middle East and North Africa (MENA);White","2024","Physical Sciences (including math, CS)","I am agnostic","No, slightly less smart","No","Sharpe Refectory (Ratty)","Every week","No","3.25-3.49","No","Likely"
"2022/04/21 4:05:46 PM AST","Female","Asian","2024","Life Sciences","Islam","No, slightly less smart","No","Barus and Holley Cafe","Every month","Unsure","3.9-3.99","Unsure","Unlikely"
"2022/04/21 4:06:01 PM AST","Female","White","2025","Life Sciences;Physical Sciences (including math, CS)","Christianity","Yes, slightly smarter","No","Unsure","Every two weeks","Yes","3.7-3.79","No","Definitely"
"2022/04/21 4:07:03 PM AST","Female","Asian;White","2024","Life Sciences","Christianity","Yes, slightly smarter","No","Andrews Commons","Every month","Yes","3.9-3.99","No","Definitely"
"2022/04/21 4:09:30 PM AST","Female","White","2024","Humanities/Arts;Physical Sciences (including math, CS)","Christianity","No, slightly less smart","No","Verney-Wooley (V-dub)","Every month","Unsure","4.0","Unsure","Likely"
"2022/04/21 4:11:06 PM AST","Male","White","2024","Life Sciences;Physical Sciences (including math, CS)","Judaism","Yes, slightly smarter","No","Sharpe Refectory (Ratty)","Every two weeks","Unsure","3.9-3.99","Yes","Likely"
"2022/04/21 4:11:48 PM AST","Male","White","2023","Life Sciences","Judaism","Yes, significantly smarter","No","Unsure","Every month","Unsure","4.0","Yes","Definitely"
"2022/04/21 4:11:52 PM AST","Female","caribbean / guyanese","2025","Humanities/Arts","Islam","No, slightly less smart","No","Blue Room","Every month","Yes","4.0","No","Definitely"
"2022/04/21 4:12:56 PM AST","Male","White","2023","Physical Sciences (including math, CS)","Christianity","Yes, significantly smarter","Yes","Sharpe Refectory (Ratty)","Every month","No","3.9-3.99","Yes","Likely"
"2022/04/21 4:15:09 PM AST","Prefer not to answer","White","2023","Physical Sciences (including math, CS)","Unsure","Yes, significantly smarter","Yes","Andrews Commons","Every two weeks","Yes","Unsure","Yes","Likely"
"2022/04/21 4:15:18 PM AST","Female","Black","2025","Humanities/Arts","Christianity","Yes, slightly smarter","No","Sharpe Refectory (Ratty)","Every month","Yes","4.0","No","Definitely"
"2022/04/21 4:17:11 PM AST","Male","Asian","2022","Life Sciences;Social Sciences","Unsure","Prefer not to answer","No","Blue Room","Every two weeks","Unsure","3.8-3.89","No","Likely"
"2022/04/21 4:20:51 PM AST","Non-binary","White","2025.5","Humanities/Arts","lol","No, slightly less smart","No","Unsure","Less than every two months","No","Unsure","No","Likely"
"2022/04/21 4:22:25 PM AST","Female","Black;Non-white Hispanic;White","2023","Physical Sciences (including math, CS)","Christianity","No, slightly less smart","No","Andrews Commons","Every month","Yes","3.25-3.49","No","Likely"
"2022/04/21 4:23:42 PM AST","Male","White","2023","Life Sciences","Judaism","Yes, slightly smarter","No","Verney-Wooley (V-dub)","Every two weeks","Yes","3.9-3.99","Unsure","Likely"
"2022/04/21 4:25:59 PM AST","Female","Asian","2022","Physical Sciences (including math, CS);Social Sciences","I am agnostic;I am atheist","No, slightly less smart","Yes","Sharpe Refectory (Ratty)","Every two weeks","Unsure","4.0","No","Likely"
